StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Distribution Channel,User Language,How likely are you to support Justin Amash's 2020 Presidential run?,"Before Amash announced his candidacy, who would you most likely have voted for?",Which TWO issues are most important to you as a voter?,"Rank UP TO 3 reasons that you support or are considering supporting Justin Amash for President.(Type ""1"" beside your most important reason, ""2"" beside your second most important if you have one, ""3"" beside your third most important if you have one.) - Amash's domestic policy views","Rank UP TO 3 reasons that you support or are considering supporting Justin Amash for President.(Type ""1"" beside your most important reason, ""2"" beside your second most important if you have one, ""3"" beside your third most important if you have one.) - Amash's foreign policy views","Rank UP TO 3 reasons that you support or are considering supporting Justin Amash for President.(Type ""1"" beside your most important reason, ""2"" beside your second most important if you have one, ""3"" beside your third most important if you have one.) - I do not trust Trump or Biden to operate in my interest","Rank UP TO 3 reasons that you support or are considering supporting Justin Amash for President.(Type ""1"" beside your most important reason, ""2"" beside your second most important if you have one, ""3"" beside your third most important if you have one.) - I believe Trump and Biden are mentally unfit or unhealthy","Rank UP TO 3 reasons that you support or are considering supporting Justin Amash for President.(Type ""1"" beside your most important reason, ""2"" beside your second most important if you have one, ""3"" beside your third most important if you have one.) - I am trying to disturb the current 2-party system"
"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_2""}","{""ImportId"":""QID12_3""}","{""ImportId"":""QID12_4""}","{""ImportId"":""QID12_5""}"
5/6/2020 17:40,5/6/2020 17:42,IP Address,100,118,TRUE,5/6/2020 17:42,R_3MPRV8olLxGyUhC,,,,,anonymous,EN,I am very likely to support him,Undecided,"Healthcare,Gun Policy",2,,1,3,
5/6/2020 17:42,5/6/2020 17:43,IP Address,100,58,TRUE,5/6/2020 17:43,R_25Y4LUhnTrzVHH2,,,,,anonymous,EN,I am very likely to support him,Other/write-in,"National Security/Foreign Policy,Government Spending/Deficit",,3,1,2,
5/6/2020 17:42,5/6/2020 17:43,IP Address,100,87,TRUE,5/6/2020 17:43,R_sU2eYkMBNVtL59T,,,,,anonymous,EN,I am very likely to support him,Undecided,"Economy,Gun Policy",2,,1,,3
5/6/2020 17:44,5/6/2020 17:45,IP Address,100,52,TRUE,5/6/2020 17:45,R_2fwVOSsr3nAkA4X,,,,,anonymous,EN,I may support him,Trump,"Gun Policy,Government Spending/Deficit",3,,2,,1
5/6/2020 17:44,5/6/2020 17:45,IP Address,100,26,TRUE,5/6/2020 17:45,R_3edVKBkANBO2Xh1,,,,,anonymous,EN,I will not support him,Trump,"Economy,Taxation",,,,,
5/6/2020 17:45,5/6/2020 17:47,IP Address,100,104,TRUE,5/6/2020 17:47,R_2dm7WrbxIVpOKDN,,,,,anonymous,EN,I am very likely to support him,Undecided,"Taxation,Abortion",1,,,2,3
5/6/2020 17:46,5/6/2020 17:48,IP Address,100,110,TRUE,5/6/2020 17:48,R_3DhllmjHZASYAw6,,,,,anonymous,EN,I am very likely to support him,The Libertarian Party nominee,"Healthcare,Economy",1,,3,2,
5/6/2020 17:48,5/6/2020 17:49,IP Address,100,57,TRUE,5/6/2020 17:49,R_3iz0JYVzla0d5BS,,,,,anonymous,EN,I am very likely to support him,The Libertarian Party nominee,"Economy,Taxation",,,2,1,3
5/6/2020 17:48,5/6/2020 17:49,IP Address,100,60,TRUE,5/6/2020 17:49,R_1JQkdRJp1O8JuyB,,,,,anonymous,EN,I am very likely to support him,Undecided,"Economy,Taxation",1,3,,2,
5/6/2020 17:48,5/6/2020 17:50,IP Address,100,116,TRUE,5/6/2020 17:50,R_1CqmA4e2JI7i5vG,,,,,anonymous,EN,I am very likely to support him,The Libertarian Party nominee,"Healthcare,Government Spending/Deficit",,,3,2,1
5/6/2020 17:53,5/6/2020 17:54,IP Address,100,91,TRUE,5/6/2020 17:54,R_phGtgVxY3wImRMJ,,,,,anonymous,EN,I am very likely to support him,I probably would not have voted,"National Security/Foreign Policy,Government Spending/Deficit",,3,,1,2
5/6/2020 17:54,5/6/2020 17:55,IP Address,100,60,TRUE,5/6/2020 17:55,R_21F17Izq9ChAmIq,,,,,anonymous,EN,I am very likely to support him,The Libertarian Party nominee,"Economy,Abortion",1,2,,,3
5/6/2020 17:54,5/6/2020 17:57,IP Address,100,178,TRUE,5/6/2020 17:57,R_2fesPt7QMKSZ6Wp,,,,,anonymous,EN,I may support him,The Libertarian Party nominee,"Healthcare,Government Spending/Deficit",2,,1,,3
5/6/2020 17:57,5/6/2020 18:00,IP Address,100,149,TRUE,5/6/2020 18:00,R_3huOBcvl8HsXGzC,,,,,anonymous,EN,I am very likely to support him,The Libertarian Party nominee,"Economy,Taxation",,,1,2,3
5/6/2020 18:04,5/6/2020 18:05,IP Address,100,68,TRUE,5/6/2020 18:05,R_Uu2LTSIR7mSCvKx,,,,,anonymous,EN,I may support him,Trump,"Taxation,Abortion",2,,3,1,
5/6/2020 18:04,5/6/2020 18:05,IP Address,100,84,TRUE,5/6/2020 18:05,R_3Ljva3tg9e242IV,,,,,anonymous,EN,I am very likely to support him,The Libertarian Party nominee,"Criminal Justice,Government Spending/Deficit",1,,,3,2
5/6/2020 18:04,5/6/2020 18:06,IP Address,100,99,TRUE,5/6/2020 18:06,R_3IcKTLcUDhlH8AO,,,,,anonymous,EN,I am very likely to support him,The Libertarian Party nominee,"Gun Policy,Government Spending/Deficit",1,2,3,,
5/6/2020 18:08,5/6/2020 18:09,IP Address,100,64,TRUE,5/6/2020 18:09,R_sgGYJkxREmnpof7,,,,,anonymous,EN,I am very likely to support him,The Libertarian Party nominee,"National Security/Foreign Policy,Government Spending/Deficit",,2,1,3,
5/6/2020 18:08,5/6/2020 18:09,IP Address,100,95,TRUE,5/6/2020 18:09,R_1f9o8ycSivDpugb,,,,,anonymous,EN,I am very likely to support him,The Libertarian Party nominee,"Government Spending/Deficit,Abortion",1,,2,,3
5/6/2020 18:09,5/6/2020 18:10,IP Address,100,66,TRUE,5/6/2020 18:10,R_1jexFw8uSbGunIp,,,,,anonymous,EN,I am very likely to support him,The Libertarian Party nominee,"Healthcare,Government Spending/Deficit",1,2,3,,
5/6/2020 18:11,5/6/2020 18:13,IP Address,100,86,TRUE,5/6/2020 18:13,R_22QbTepb0DEuMjo,,,,,anonymous,EN,I am very likely to support him,I probably would not have voted,"National Security/Foreign Policy,Economy",1,,2,,3
5/6/2020 18:15,5/6/2020 18:16,IP Address,100,87,TRUE,5/6/2020 18:16,R_UQqbJLVPUAI5W81,,,,,anonymous,EN,I am very likely to support him,Undecided,"National Security/Foreign Policy,Gun Policy",3,,1,,2
5/6/2020 18:15,5/6/2020 18:16,IP Address,100,104,TRUE,5/6/2020 18:16,R_1DoI1Sh57Kj88RA,,,,,anonymous,EN,I may support him,Biden,"Healthcare,National Security/Foreign Policy",2,,1,3,
5/6/2020 18:16,5/6/2020 18:17,IP Address,100,91,TRUE,5/6/2020 18:17,R_1qexebpWvG260fB,,,,,anonymous,EN,I am very likely to support him,Trump,"Economy,Gun Policy",1,,2,,3
5/6/2020 18:16,5/6/2020 18:17,IP Address,100,50,TRUE,5/6/2020 18:17,R_1IMYaB3xLTEQa7t,,,,,anonymous,EN,I am very likely to support him,The Libertarian Party nominee,"Gun Policy,Government Spending/Deficit",1,,2,,3
5/6/2020 18:16,5/6/2020 18:17,IP Address,100,88,TRUE,5/6/2020 18:17,R_2XiVMv8j0RXUTvy,,,,,anonymous,EN,I am very likely to support him,The Libertarian Party nominee,"Criminal Justice,Gun Policy",1,,3,2,
5/6/2020 18:18,5/6/2020 18:19,IP Address,100,98,TRUE,5/6/2020 18:19,R_3ek8wJhiX6vhJnC,,,,,anonymous,EN,I may support him,Other/write-in,"Economy,Government Spending/Deficit",,,2,3,1
5/6/2020 18:18,5/6/2020 18:19,IP Address,100,82,TRUE,5/6/2020 18:19,R_1rxgUW4QxhIJmsY,,,,,anonymous,EN,I am very likely to support him,Trump,"National Security/Foreign Policy,Government Spending/Deficit",1,,3,,2
5/6/2020 18:23,5/6/2020 18:25,IP Address,100,82,TRUE,5/6/2020 18:25,R_RgVGoTzzp2whxNn,,,,,anonymous,EN,I am very likely to support him,The Libertarian Party nominee,"Immigration,Minority Rights",2,1,3,,
